Id,SalePrice
1461,88000
1462,88000
1463,200000
1464,193000
1465,161000
1466,211000
1467,147000
1468,132000
1469,145000
1470,97000
1471,173000
1472,60000
1473,88000
1474,148500
1475,151000
1476,232000
1477,264132
1478,272000
1479,305000
1480,256300
1481,305000
1482,148800
1483,87500
1484,151000
1485,179665
1486,190000
1487,232000
1488,179600
1489,178000
1490,180000
1491,179665
1492,110000
1493,175000
1494,258000
1495,310000
1496,155000
1497,151000
1498,174000
1499,151000
1500,131500
1501,132000
1502,151000
1503,232000
1504,190000
1505,189000
1506,130500
1507,200000
1508,130500
1509,118858
1510,87500
1511,137500
1512,167000
1513,130500
1514,140000
1515,140000
1516,137000
1517,140000
1518,148500
1519,210000
1520,88000
1521,88000
1522,167000
1523,98000
1524,84900
1525,88000
1526,140000
1527,68400
1528,98000
1529,87500
1530,135000
1531,107400
1532,76500
1533,129900
1534,98000
1535,104900
1536,105000
1537,68400
1538,161000
1539,122000
1540,145000
1541,160000
1542,117000
1543,122000
1544,52000
1545,100000
1546,68400
1547,117000
1548,88000
1549,98000
1550,156500
1551,119000
1552,124500
1553,88000
1554,40000
1555,124500
1556,88000
1557,84900
1558,66500
1559,145000
1560,106000
1561,140000
1562,97000
1563,97000
1564,147000
1565,143000
1566,242000
1567,68400
1568,174000
1569,145000
1570,93000
1571,85500
1572,93000
1573,179665
1574,87500
1575,196500
1576,200000
1577,178000
1578,90000
1579,131000
1580,190000
1581,58500
1582,149900
1583,325000
1584,226700
1585,143000
1586,39300
1587,93000
1588,62383
1589,68400
1590,140000
1591,112000
1592,110000
1593,68400
1594,107400
1595,124000
1596,205000
1597,214500
1598,225000
1599,172500
1600,161000
1601,84500
1602,96500
1603,61000
1604,172500
1605,232000
1606,107000
1607,130500
1608,225000
1609,178000
1610,132000
1611,148000
1612,167000
1613,148000
1614,127000
1615,85000
1616,115000
1617,115000
1618,58500
1619,68400
1620,188000
1621,105000
1622,118500
1623,145000
1624,200000
1625,97000
1626,167000
1627,193000
1628,310000
1629,161000
1630,236500
1631,161000
1632,172500
1633,161000
1634,175000
1635,159500
1636,98300
1637,175000
1638,205000
1639,200000
1640,197900
1641,175000
1642,185900
1643,185900
1644,185900
1645,150000
1646,147000
1647,205000
1648,87500
1649,110000
1650,120500
1651,149900
1652,60000
1653,60000
1654,149500
1655,151000
1656,118858
1657,149500
1658,148500
1659,173000
1660,129900
1661,256300
1662,232000
1663,272000
1664,256300
1665,325000
1666,305000
1667,232000
1668,325000
1669,164000
1670,325000
1671,200000
1672,256300
1673,310000
1674,232000
1675,148000
1676,148000
1677,173000
1678,256300
1679,256300
1680,172500
1681,148800
1682,325000
1683,130000
1684,179665
1685,132000
1686,151000
1687,148800
1688,165400
1689,189000
1690,189000
1691,159895
1692,272000
1693,148800
1694,176000
1695,161000
1696,160000
1697,161000
1698,310000
1699,258000
1700,232000
1701,325000
1702,305000
1703,227000
1704,227000
1705,222500
1706,232000
1707,147000
1708,194500
1709,232000
1710,233170
1711,164000
1712,227000
1713,196500
1714,194500
1715,190000
1716,178000
1717,178000
1718,110000
1719,196500
1720,290000
1721,159500
1722,110000
1723,147000
1724,165400
1725,179665
1726,197500
1727,90000
1728,210000
1729,159500
1730,197500
1731,116000
1732,120500
1733,88000
1734,88000
1735,88000
1736,97000
1737,310000
1738,160000
1739,151000
1740,187000
1741,148000
1742,176000
1743,155000
1744,256300
1745,205000
1746,122000
1747,205000
1748,181000
1749,129900
1750,88000
1751,197900
1752,82000
1753,167000
1754,169500
1755,137500
1756,131000
1757,97000
1758,120500
1759,149500
1760,137500
1761,148000
1762,140000
1763,160000
1764,110000
1765,140000
1766,110000
1767,135000
1768,97000
1769,205000
1770,97000
1771,110000
1772,110000
1773,88000
1774,124500
1775,127000
1776,109900
1777,80000
1778,127000
1779,88000
1780,197900
1781,82000
1782,115000
1783,110000
1784,40000
1785,82000
1786,90000
1787,122000
1788,86000
1789,68400
1790,34900
1791,135000
1792,110000
1793,137500
1794,131000
1795,110000
1796,88000
1797,116000
1798,110000
1799,84500
1800,140000
1801,125000
1802,156500
1803,135000
1804,131000
1805,88000
1806,104000
1807,124500
1808,110000
1809,40000
1810,118858
1811,104900
1812,37900
1813,88000
1814,116000
1815,39300
1816,115000
1817,118858
1818,104900
1819,115000
1820,110000
1821,82000
1822,132000
1823,115000
1824,61000
1825,107400
1826,82000
1827,119000
1828,117000
1829,108000
1830,106000
1831,122000
1832,127500
1833,133000
1834,40000
1835,122000
1836,125000
1837,118500
1838,88000
1839,34900
1840,84900
1841,145000
1842,37900
1843,110000
1844,147000
1845,118500
1846,137500
1847,145000
1848,39300
1849,87500
1850,124500
1851,133000
1852,82000
1853,127000
1854,163000
1855,108000
1856,196500
1857,90000
1858,197500
1859,118858
1860,131000
1861,118858
1862,160000
1863,155000
1864,155000
1865,264132
1866,325000
1867,189000
1868,325000
1869,159895
1870,214000
1871,232000
1872,181000
1873,200000
1874,124500
1875,179665
1876,188000
1877,179665
1878,196500
1879,124500
1880,131000
1881,196500
1882,232000
1883,230000
1884,160000
1885,325000
1886,232000
1887,220000
1888,228500
1889,105000
1890,124500
1891,128000
1892,112000
1893,93000
1894,140000
1895,124500
1896,133000
1897,118500
1898,88000
1899,55993
1900,161000
1901,110000
1902,124500
1903,122000
1904,93000
1905,149900
1906,140000
1907,149500
1908,98000
1909,103000
1910,98000
1911,174000
1912,242000
1913,135000
1914,86000
1915,172500
1916,61000
1917,226700
1918,118500
1919,131000
1920,175000
1921,305000
1922,325000
1923,197500
1924,200000
1925,190000
1926,325000
1927,124500
1928,175000
1929,91000
1930,82000
1931,141000
1932,147000
1933,175000
1934,193000
1935,149500
1936,193000
1937,174000
1938,107000
1939,154000
1940,161000
1941,181000
1942,174000
1943,161000
1944,252000
1945,325000
1946,137000
1947,154000
1948,137000
1949,179665
1950,197900
